Date,Close
2021-04-07,405.47257537
2021-04-08,409.57123133
2021-04-09,404.25961755
2021-04-12,402.22814196
2021-04-13,403.57362159
2021-04-14,413.04277404
2021-04-15,422.1143592
2021-04-16,417.03349291
2021-04-19,424.23116439
2021-04-20,421.84571236
2021-04-21,428.48612397
2021-04-22,427.76862097
2021-04-23,433.88258539
2021-04-26,444.22481073
2021-04-27,448.42877883
2021-04-28,449.4951424
2021-04-29,448.44097322
2021-04-30,446.63071709
2021-05-03,452.62627659
2021-05-04,451.88853965
2021-05-05,452.1656077
2021-05-06,459.95599463
2021-05-07,474.56515622
2021-05-10,471.4492261
2021-05-11,476.15649897
2021-05-12,473.53522631
2021-05-13,469.04790524
2021-05-14,465.59063387
2021-05-17,471.30931296
2021-05-18,472.67917959
2021-05-19,457.82353102
2021-05-20,457.02430675
2021-05-21,448.39357535
2021-05-24,452.86201523
2021-05-25,450.96225196
2021-05-26,453.24512754
2021-05-27,466.59567943
2021-05-28,468.02074026
2021-06-01,465.60832225
2021-06-02,459.48905875
2021-06-03,446.72342952
2021-06-04,453.240854
2021-06-07,453.12374556
2021-06-08,456.03611508
2021-06-09,453.57581721
2021-06-10,449.11159828
2021-06-11,454.36990733
2021-06-14,453.28039808
2021-06-15,433.99812301
2021-06-16,439.0987214
2021-06-17,418.53771594
2021-06-18,416.38240153
2021-06-21,418.54612478
2021-06-22,422.10910036
2021-06-23,432.56682413
2021-06-24,430.64264996
2021-06-25,428.99269955
2021-06-28,427.91619845
2021-06-29,426.22285984
2021-06-30,428.71284779
2021-07-01,423.423998
2021-07-02,427.49146791
2021-07-06,424.9447589
2021-07-07,432.079492
2021-07-08,426.3829602
2021-07-09,434.45019648
2021-07-12,431.43301018
2021-07-13,430.49182107
2021-07-14,426.60413896
2021-07-15,432.08221173
2021-07-16,432.10269011
2021-07-19,420.01256282
2021-07-20,426.15469805
2021-07-21,427.00849049
2021-07-22,433.49377165
2021-07-23,439.39149909
2021-07-26,456.53483766
2021-07-27,452.4828995
2021-07-28,446.88940376
2021-07-29,451.22003426
2021-07-30,446.85394912
2021-08-02,442.41547028
2021-08-03,437.94935339
2021-08-04,432.64871925
2021-08-05,433.97787265
2021-08-06,434.19379047
2021-08-09,428.41561551
2021-08-10,434.81047928
2021-08-11,436.14061908
2021-08-12,435.12074638
2021-08-13,438.20739851
2021-08-16,432.15103405
2021-08-17,420.45061114
2021-08-18,412.01403973
2021-08-19,404.30104971
2021-08-20,412.52187917
2021-08-23,422.15682545
2021-08-24,425.88029617
2021-08-25,427.20398684
2021-08-26,425.44249755
2021-08-27,432.47327415
2021-08-30,436.87904357
2021-08-31,436.71030929
2021-09-01,427.30813861
2021-09-02,429.97728456
2021-09-03,432.93908383
2021-09-07,427.76169284
2021-09-08,423.02647051
2021-09-09,428.31092984
2021-09-10,444.75536369
2021-09-13,436.25528286
2021-09-14,431.72738296
2021-09-15,440.14800708
2021-09-16,427.77700095
2021-09-17,424.18808904
2021-09-20,411.14822125
2021-09-21,412.23851901
2021-09-22,424.7997892
2021-09-23,422.77581289
2021-09-24,428.00471286
2021-09-27,428.17096365
2021-09-28,423.76736649
2021-09-29,419.14937814
2021-09-30,408.05833755
2021-10-01,417.83093486
2021-10-04,422.96926555
2021-10-05,418.37222732
2021-10-06,414.00284686
2021-10-07,423.58802089
2021-10-08,426.76570291
2021-10-11,435.71294863
2021-10-12,431.57428657
2021-10-13,449.46337392
2021-10-14,460.73995423
2021-10-15,470.60401381
2021-10-18,469.97399292
2021-10-19,467.72071948
2021-10-20,470.91994657
2021-10-21,453.35536316
2021-10-22,447.9093396
2021-10-25,451.39881791
2021-10-26,447.58562975
2021-10-27,437.97786809
2021-10-28,442.31376443
2021-10-29,435.08694881
2021-11-01,437.30387299
2021-11-02,434.84876471
2021-11-03,430.82810373
2021-11-04,430.74783811
2021-11-05,433.04648291
2021-11-08,438.82446426
2021-11-09,436.51768307
2021-11-10,431.81266368
2021-11-11,439.13492655
2021-11-12,444.28717828
2021-11-15,439.95432249
2021-11-16,435.53214866
2021-11-17,426.8580603
2021-11-18,430.21330673
2021-11-19,439.4955576
2021-11-22,439.40472349
2021-11-23,442.03149619
2021-11-24,446.6333029
2021-11-26,428.72604699
2021-11-29,433.73140571
2021-11-30,427.62806955
2021-12-01,424.39264417
2021-12-02,429.43963509
2021-12-03,426.27540386
2021-12-06,433.07768359
2021-12-07,433.41623399
2021-12-08,438.7024614
2021-12-09,432.69040035
2021-12-10,428.18197944
2021-12-13,428.06749617
2021-12-14,425.28082264
2021-12-15,417.82980552
2021-12-16,429.87297912
2021-12-17,428.96484673
2021-12-20,428.74956555
2021-12-21,433.89726732
2021-12-22,438.35891626
2021-12-23,438.48421278
2021-12-27,446.28792382
2021-12-28,442.60672826
2021-12-29,440.48988833
2021-12-30,438.67656828
2021-12-31,445.59209223
2022-01-03,441.61075088
2022-01-04,446.90698147
2022-01-05,440.96840879
2022-01-06,435.1298154
2022-01-07,440.66658679
