date,pnl,cum,delta,target_delta,stress,trend,tail_active
2020-06-26,0.10443789488664723,45.51438350926188,1.2128199990506616,1.2785699024114956,0.0,1.0,0.0
2020-06-29,1.883099265568735,47.39748277483062,1.3470227013856204,1.3470227013856204,0.0,1.0,0.0
2020-06-30,4.81027115281267,52.20775392764329,1.3470227013856204,1.3223640508467918,0.0,1.0,0.0
2020-07-01,0.9007610445239437,53.108514972167235,1.3470227013856204,1.3214679359360282,0.0,1.0,0.0
2020-07-02,1.882012864819655,54.99052783698689,1.3470227013856204,1.3157078972039502,0.0,1.0,0.0
2020-07-06,3.6033479798449948,58.59387581683189,1.489547065968473,1.489547065968473,0.0,1.0,0.0
2020-07-07,3.5077095400040954,62.10158535683598,1.489547065968473,1.4738010388103504,0.0,1.0,0.0
2020-07-08,3.9731159438495274,66.0747013006855,1.489547065968473,1.5,0.0,1.0,0.0
2020-07-09,2.462573160853804,68.53727446153931,1.489547065968473,1.5,0.0,1.0,0.0
2020-07-10,8.71847773303981,77.25575219457912,1.489547065968473,1.5,0.0,1.0,0.0
2020-07-13,8.660188643194996,85.91594083777412,1.489547065968473,1.5,0.0,1.0,0.0
2020-07-14,-3.126302910626812,82.78963792714731,1.489547065968473,1.5,0.0,1.0,0.0
2020-07-15,-2.4012418552788906,80.38839607186841,0.5000000000000001,0.5,1.0,1.0,1.0
2020-07-16,0.768656975646469,81.15705304751488,0.5006039214724519,0.5,1.0,1.0,1.0
2020-07-17,0.16512625333047726,81.32217930084535,0.5007453154704423,0.5,1.0,1.0,1.0
2020-07-20,1.73706237208328,83.05924167292864,1.5,1.5,0.0,1.0,0.0
2020-07-21,6.411089175000058,89.4703308479287,1.5,1.5,0.0,1.0,0.0
2020-07-22,-4.985059230000047,84.48527161792865,1.5,1.5,0.0,1.0,0.0
2020-07-23,1.9138351500000397,86.39910676792869,1.5,1.5,0.0,1.0,0.0
2020-07-24,-6.74798586,79.65112090792869,1.5,1.4797107903452649,0.0,1.0,0.0
2020-07-27,0.9989951549999887,80.65011606292867,1.5,1.4780316693672197,0.0,1.0,0.0
2020-07-28,2.978236559999999,83.62835262292867,1.5,1.4717860112051577,0.0,1.0,0.0
2020-07-29,0.2020358549999628,83.83038847792864,1.5,1.5,0.0,1.0,0.0
2020-07-30,-0.6094159949999494,83.22097248292869,1.5,1.5,0.0,1.0,0.0
2020-07-31,-6.527786985000063,76.69318549792862,1.5,1.464713113277149,0.0,1.0,0.0
2020-08-03,6.305292379318551,82.99847787724718,1.4170183175944218,1.4170183175944218,0.0,1.0,0.0
2020-08-04,-2.2974288025356313,80.70104907471155,1.4170183175944218,1.428716848225802,0.0,1.0,0.0
2020-08-05,3.1917696828131046,83.89281875752465,1.4170183175944218,1.4376890759551435,0.0,1.0,0.0
2020-08-06,-0.24599826390735177,83.6468204936173,0.5,0.5,1.0,1.0,1.0
2020-08-07,-2.535550269727425,81.11127022388987,0.19999999999999996,0.2,1.0,1.0,1.0
