Date,close,return,rv_m,rv_l,atm_iv,garch,regime,month,vrp,vrp_z,rvr,rvr_z,garch_z,regime_vol,rho_sv,vol_of_vol,tradeable,garch_median,garch_high,is_jump,jump_count_30d,no_jump_cluster,signal,dow
2020-05-07,238.70655644,0.013532234511166663,0.21251641567827004,0.27952608370549836,0.1831223323496757,0.19858004599824453,0.043219786447664894,5,-0.029394083328594334,0.4946058504014216,0.5648536401802984,-0.9175558773358722,-0.22366755132105667,0.1796698927468873,-0.23981046247663626,0.22517617850564556,True,0.1637594027540727,True,False,2.0,False,0,3
2020-05-08,241.32524882,0.010910603543177884,0.21598772002933928,0.28009129596637705,0.18709032608815468,0.20302896839926962,0.050386552386504024,5,-0.028897393941184596,0.5095788621887953,0.5211426505293573,-0.9759857319640824,-0.1510449378901034,0.1807479097618111,-0.2384618338712952,0.22520220323299872,True,0.16382410252500587,True,False,2.0,False,0,4
2020-05-11,238.68717879,-0.010991784541505659,0.20785266123889334,0.2808116094171074,0.18149024651865475,0.20322237454708658,0.06350205456014829,5,-0.02636241472023859,0.5956454845994982,0.5891379383992161,-0.8368564983257151,-0.16101534361533573,0.18272072910921522,-0.2358806867827298,0.2252886476609475,True,0.16388880229593905,True,False,2.0,False,0,0
2020-05-12,236.61236099,-0.008730624818838904,0.20668963084610034,0.2811874176751349,0.18485734016881322,0.2033814931645465,0.07405937234923582,5,-0.02183229067728712,0.7454949733708308,0.5875426250436698,-0.8337387249174079,-0.17355297617306514,0.1843087491876884,-0.23634359718622572,0.22529086898229128,True,0.16390703954440156,True,False,2.0,False,0,1
2020-05-13,235.3591226,-0.0053106654915125685,0.20090092017780303,0.2813753270133564,0.17835910432257224,0.20138283986121966,0.08943300998761573,5,-0.022541815855230796,0.7146474252922967,0.5794327008307709,-0.8413312667279332,-0.22920486483859934,0.18662123477698767,-0.23557028942876918,0.22536614439738256,True,0.16392527679286406,True,False,1.0,True,1,2
2020-05-14,235.31254248,-0.0001979304198996421,0.2008456005932394,0.28136606243779794,0.1780502590952441,0.19759172066460545,0.12161383755560964,5,-0.02279534149799528,0.7051028609978365,0.46819733548154824,-1.0425739707546715,-0.321927069602873,0.1914618393074944,-0.2358643328350786,0.22536369584754118,True,0.16395650125806321,True,False,1.0,True,0,3
2020-05-15,233.76063464,-0.006616935600102006,0.18585836080307222,0.2813536273526184,0.16564440949209963,0.19334003454301385,0.19309330307142353,5,-0.02021395131097259,0.7886036075998918,0.41389943995110057,-1.1376760333556384,-0.42614261995818387,0.20221370154232943,-0.23295674109174971,0.22582279769129315,True,0.1639877257232624,True,False,1.0,True,1,4
2020-05-18,241.0910039,0.03087680883769156,0.21363548063180257,0.28796221492048435,0.18784436632446014,0.19220253442919083,0.30884723261222063,5,-0.025791114307342433,0.5986956783603355,0.8182709075175317,-0.4233928215076644,-0.4692831829655171,0.2196252797428981,-0.20919954127289975,0.227394841774132,True,0.1641261003162936,True,False,1.0,True,1,0
2020-05-19,242.57459983,0.006134819476962034,0.18229867087866444,0.2871156018049323,0.15441069633240112,0.23138116010850657,0.27097191695321654,5,-0.027887974546263322,0.5307829068287943,0.8061821532534136,-0.4485113998042022,0.303789096727189,0.2139281166048161,-0.21184854554354587,0.22955840550445833,True,0.1642644749093248,True,False,1.0,True,1,1
2020-05-20,246.7471,0.017054634223661196,0.1776531226662369,0.2892324268612432,0.1568458812366938,0.22042958633992416,0.2725229161062843,5,-0.0208072414295431,0.7900227995143457,0.8936972184930762,-0.29595872293126796,0.05695744069689148,0.21416141618393003,-0.21277052815135714,0.22960499744957377,True,0.16426789437651412,True,False,1.0,True,1,2
